transaction_id,complaint_id,timestamp,from_account_id,to_account_id,amount,channel,transaction_type,bank,upi_id,device_type,geo_lat,geo_lon,time_since_previous_transaction,transaction_sequence_number
TXN_0000001,CASE_000001,2024-12-07 00:26:20.747690019,ACC_000815,ACC_000767,1855.41,UPI,fragmentation,SBI,UPI_000849,iOS,17.34924967695852,78.50239610742474,,1
TXN_0000002,CASE_000001,2024-12-07 00:27:34.944070614,ACC_000815,ACC_000767,1839.88,IMPS,fragmentation,SBI,UPI_000849,Android,17.34924967695852,78.50239610742474,1.2366063333333335,2
TXN_0000003,CASE_000001,2024-12-07 00:33:32.731616166,ACC_000815,ACC_000767,1212.8,NEFT,fragmentation,SBI,UPI_000849,iOS,17.34924967695852,78.50239610742474,5.963125750000001,3
TXN_0000004,CASE_000001,2024-12-07 00:37:10.337752166,ACC_000815,ACC_000767,224.65,UPI,fragmentation,SBI,UPI_000849,Android,17.34924967695852,78.50239610742474,3.626768933333333,4
TXN_0000005,CASE_000001,2024-12-07 01:17:52.684993342,ACC_000767,ACC_001308,3460.59,UPI,mule_transfer,IndusInd Bank,UPI_001428,iOS,,,40.70578735,5
TXN_0000006,CASE_000001,2024-12-07 01:48:45.427807811,ACC_001308,ACC_000139,3460.59,IMPS,mule_transfer,Axis Bank,UPI_000155,iOS,,,30.8790469,6
TXN_0000007,CASE_000002,2024-11-09 07:36:49.428065956,ACC_000590,ACC_001625,7963.97,Net Banking,fragmentation,ICICI Bank,UPI_001777,Android,22.577105713365146,88.38229239292487,,1
TXN_0000008,CASE_000002,2024-11-09 07:41:01.654512933,ACC_000590,ACC_001625,16712.41,NEFT,fragmentation,ICICI Bank,UPI_001777,Android,22.577105713365146,88.38229239292487,4.2037741,2
TXN_0000009,CASE_000002,2024-11-09 07:44:14.333039690,ACC_000590,ACC_001625,6077.19,UPI,fragmentation,ICICI Bank,UPI_001777,Android,22.577105713365146,88.38229239292487,3.211308766666667,3
TXN_0000010,CASE_000002,2024-11-09 07:47:54.559643044,ACC_000590,ACC_001625,19426.95,IMPS,fragmentation,ICICI Bank,UPI_001777,Android,22.577105713365146,88.38229239292487,3.6704433833333336,4
TXN_0000011,CASE_000002,2024-11-09 07:50:22.420022056,ACC_001625,ACC_001288,39630.14,UPI,mule_transfer,Kotak Mahindra Bank,UPI_001405,Android,,,2.46433965,5
TXN_0000012,CASE_000002,2024-11-09 07:51:47.777318058,ACC_001288,ACC_000093,39630.14,IMPS,mule_transfer,Yes Bank,UPI_000105,Android,,,1.4226216,6
TXN_0000013,CASE_000003,2024-01-06 03:57:56.230016399,ACC_000493,ACC_001350,73293.46,Net Banking,victim_debit,Bank of Baroda,UPI_001472,iOS,22.6375137273501,88.38483483800562,,1
TXN_0000014,CASE_000003,2024-01-06 03:59:33.213881326,ACC_001350,ACC_000052,73293.46,UPI,mule_transfer,IndusInd Bank,UPI_000058,Android,,,1.6163977333333333,2
TXN_0000015,CASE_000004,2026-06-13 19:37:32.083097996,ACC_000902,ACC_000480,4969.66,UPI,victim_debit,IndusInd Bank,UPI_000531,Desktop,26.883479681299477,75.79505834566629,,1
TXN_0000016,CASE_000004,2026-06-13 19:58:08.975256714,ACC_000480,ACC_000023,3888.4,UPI,mule_transfer,Kotak Mahindra Bank,UPI_000028,Android,,,20.614869300000002,2
TXN_0000017,CASE_000004,2026-06-13 20:29:43.022285528,ACC_000023,ACC_000480,3888.4,IMPS,mule_transfer,IndusInd Bank,UPI_000532,iOS,,,31.567450466666667,3
TXN_0000018,CASE_000005,2025-07-06 13:04:29.705287082,ACC_000661,ACC_000480,2398.77,IMPS,victim_debit,IndusInd Bank,UPI_000532,Desktop,23.072545909994787,72.44525403127831,,1
TXN_0000019,CASE_000005,2025-07-06 13:05:43.177479342,ACC_000480,ACC_000775,1343.35,UPI,mule_transfer,SBI,UPI_000857,Android,,,1.2245365333333333,2
TXN_0000020,CASE_000005,2025-07-06 13:11:54.595483655,ACC_000775,ACC_000480,1343.35,IMPS,mule_transfer,IndusInd Bank,UPI_000532,Android,,,6.1903000666666665,3
TXN_0000021,CASE_000006,2025-01-01 12:35:47.788451252,ACC_001354,ACC_001507,1700.69,UPI,fragmentation,Punjab National Bank,UPI_001646,iOS,18.520331126499176,73.8561341281899,,1
TXN_0000022,CASE_000006,2025-01-01 12:38:02.472120047,ACC_001354,ACC_001507,95437.82,IMPS,fragmentation,Punjab National Bank,UPI_001646,iOS,18.520331126499176,73.8561341281899,2.2447278,2
TXN_0000023,CASE_000006,2025-01-01 13:20:26.044345629,ACC_001507,ACC_001647,97138.51,Net Banking,mule_transfer,Canara Bank,UPI_001801,Android,,,42.39287041666667,3
TXN_0000024,CASE_000007,2025-05-10 09:40:14.641969855,ACC_000526,ACC_000023,8855.32,UPI,fragmentation,Kotak Mahindra Bank,UPI_000028,iOS,12.955353274281766,77.60538725110246,,1
TXN_0000025,CASE_000007,2025-05-10 09:44:16.482681170,ACC_000526,ACC_000023,3436.67,UPI,fragmentation,Kotak Mahindra Bank,UPI_000028,Android,12.955353274281766,77.60538725110246,4.030678516666667,2
TXN_0000026,CASE_000007,2025-05-10 09:59:40.707999449,ACC_000526,ACC_000023,8314.75,NEFT,fragmentation,Kotak Mahindra Bank,UPI_000028,Android,12.955353274281766,77.60538725110246,15.4037553,3
TXN_0000027,CASE_000007,2025-05-10 10:02:28.127427805,ACC_000023,ACC_000480,15393.99,UPI,mule_transfer,IndusInd Bank,UPI_000531,iOS,,,2.7903238000000004,4
TXN_0000028,CASE_000007,2025-05-10 10:08:22.040828705,ACC_000480,ACC_000775,15393.99,NEFT,mule_transfer,SBI,UPI_000857,Desktop,,,5.898556666666667,5
TXN_0000029,CASE_000008,2024-02-06 22:48:42.866839446,ACC_000719,ACC_000480,1205.07,IMPS,victim_debit,IndusInd Bank,UPI_000531,Android,19.969917047282483,73.76993198670681,,1
TXN_0000030,CASE_000008,2024-02-06 23:08:48.218747528,ACC_000480,ACC_000775,985.64,Net Banking,mule_transfer,SBI,UPI_000857,Android,,,20.08919846666667,2
TXN_0000031,CASE_000008,2024-02-06 23:10:25.921421893,ACC_000775,ACC_000023,985.64,UPI,mule_transfer,Kotak Mahindra Bank,UPI_000028,iOS,,,1.6283779,3
TXN_0000032,CASE_000009,2024-06-07 05:16:38.744128289,ACC_001398,ACC_000139,6901.01,UPI,victim_debit,Axis Bank,UPI_000155,Android,21.121042338819567,79.09944106527968,,1
TXN_0000033,CASE_000009,2024-06-07 05:19:27.999048898,ACC_000139,ACC_001308,6901.01,IMPS,mule_transfer,IndusInd Bank,UPI_001428,Android,,,2.820915333333333,2
TXN_0000034,CASE_000010,2025-07-21 21:34:14.247718516,ACC_000312,ACC_001350,69985.94,NEFT,fragmentation,Bank of Baroda,UPI_001472,Android,26.819873003100028,80.92991134832427,,1
TXN_0000035,CASE_000010,2025-07-21 21:43:09.616297458,ACC_000312,ACC_001350,145531.03,UPI,fragmentation,Bank of Baroda,UPI_001473,Desktop,26.819873003100028,80.92991134832427,8.922809633333333,2
TXN_0000036,CASE_000010,2025-07-21 22:17:07.488952634,ACC_001350,ACC_000052,215516.96,NEFT,mule_transfer,IndusInd Bank,UPI_000058,Android,,,33.964544249999996,3
TXN_0000037,CASE_000011,2025-04-13 13:24:18.302084667,ACC_001599,ACC_001296,7427.48,UPI,victim_debit,SBI,UPI_001414,Android,12.994580630839497,80.26070927636566,,1
