src_account_id,dst_account_id,complaint_id,timestamp,amount
ACC_000815,ACC_000767,CASE_000001,2024-12-07 00:26:20.747690019,1855.41
ACC_000815,ACC_000767,CASE_000001,2024-12-07 00:27:34.944070614,1839.88
ACC_000815,ACC_000767,CASE_000001,2024-12-07 00:33:32.731616166,1212.8
ACC_000815,ACC_000767,CASE_000001,2024-12-07 00:37:10.337752166,224.65
ACC_000767,ACC_001308,CASE_000001,2024-12-07 01:17:52.684993342,3460.59
ACC_001308,ACC_000139,CASE_000001,2024-12-07 01:48:45.427807811,3460.59
ACC_000590,ACC_001625,CASE_000002,2024-11-09 07:36:49.428065956,7963.97
ACC_000590,ACC_001625,CASE_000002,2024-11-09 07:41:01.654512933,16712.41
ACC_000590,ACC_001625,CASE_000002,2024-11-09 07:44:14.333039690,6077.19
ACC_000590,ACC_001625,CASE_000002,2024-11-09 07:47:54.559643044,19426.95
ACC_001625,ACC_001288,CASE_000002,2024-11-09 07:50:22.420022056,39630.14
ACC_001288,ACC_000093,CASE_000002,2024-11-09 07:51:47.777318058,39630.14
ACC_000493,ACC_001350,CASE_000003,2024-01-06 03:57:56.230016399,73293.46
ACC_001350,ACC_000052,CASE_000003,2024-01-06 03:59:33.213881326,73293.46
ACC_000902,ACC_000480,CASE_000004,2026-06-13 19:37:32.083097996,4969.66
ACC_000480,ACC_000023,CASE_000004,2026-06-13 19:58:08.975256714,3888.4
ACC_000023,ACC_000480,CASE_000004,2026-06-13 20:29:43.022285528,3888.4
ACC_000661,ACC_000480,CASE_000005,2025-07-06 13:04:29.705287082,2398.77
ACC_000480,ACC_000775,CASE_000005,2025-07-06 13:05:43.177479342,1343.35
ACC_000775,ACC_000480,CASE_000005,2025-07-06 13:11:54.595483655,1343.35
ACC_001354,ACC_001507,CASE_000006,2025-01-01 12:35:47.788451252,1700.69
ACC_001354,ACC_001507,CASE_000006,2025-01-01 12:38:02.472120047,95437.82
ACC_001507,ACC_001647,CASE_000006,2025-01-01 13:20:26.044345629,97138.51
ACC_000526,ACC_000023,CASE_000007,2025-05-10 09:40:14.641969855,8855.32
ACC_000526,ACC_000023,CASE_000007,2025-05-10 09:44:16.482681170,3436.67
ACC_000526,ACC_000023,CASE_000007,2025-05-10 09:59:40.707999449,8314.75
ACC_000023,ACC_000480,CASE_000007,2025-05-10 10:02:28.127427805,15393.99
ACC_000480,ACC_000775,CASE_000007,2025-05-10 10:08:22.040828705,15393.99
ACC_000719,ACC_000480,CASE_000008,2024-02-06 22:48:42.866839446,1205.07
ACC_000480,ACC_000775,CASE_000008,2024-02-06 23:08:48.218747528,985.64
ACC_000775,ACC_000023,CASE_000008,2024-02-06 23:10:25.921421893,985.64
ACC_001398,ACC_000139,CASE_000009,2024-06-07 05:16:38.744128289,6901.01
ACC_000139,ACC_001308,CASE_000009,2024-06-07 05:19:27.999048898,6901.01
ACC_000312,ACC_001350,CASE_000010,2025-07-21 21:34:14.247718516,69985.94
ACC_000312,ACC_001350,CASE_000010,2025-07-21 21:43:09.616297458,145531.03
ACC_001350,ACC_000052,CASE_000010,2025-07-21 22:17:07.488952634,215516.96
ACC_001599,ACC_001296,CASE_000011,2025-04-13 13:24:18.302084667,7427.48
ACC_001296,ACC_000819,CASE_000011,2025-04-13 13:55:04.134159797,4199.52
ACC_000819,ACC_001296,CASE_000011,2025-04-13 13:59:34.342548700,4199.52
ACC_001320,ACC_001293,CASE_000012,2025-12-18 01:15:37.869858662,4518.77
ACC_001293,ACC_001349,CASE_000012,2025-12-18 01:33:44.059930199,3831.39
ACC_001349,ACC_001293,CASE_000012,2025-12-18 01:58:15.376810731,3831.39
ACC_001113,ACC_001349,CASE_000013,2025-08-23 03:47:55.400111261,2578.63
ACC_001349,ACC_001629,CASE_000013,2025-08-23 04:15:15.490085130,1756.64
ACC_001629,ACC_001293,CASE_000013,2025-08-23 04:20:34.399939716,1355.83
ACC_001293,ACC_001629,CASE_000013,2025-08-23 04:34:59.141244508,1355.83
ACC_000687,ACC_001267,CASE_000014,2025-07-01 22:30:36.080530002,650.12
ACC_000687,ACC_001267,CASE_000014,2025-07-01 22:35:58.690224376,51619.67
ACC_000687,ACC_001267,CASE_000014,2025-07-01 22:47:26.214708848,52881.43
ACC_001267,ACC_001050,CASE_000014,2025-07-01 22:49:28.784737550,105151.22
ACC_001081,ACC_000533,CASE_000015,2026-01-12 17:32:43.406128035,21058.69
ACC_000533,ACC_000287,CASE_000015,2026-01-12 17:39:34.524583523,18440.93
ACC_000287,ACC_000366,CASE_000015,2026-01-12 18:05:17.424532350,18440.93
ACC_000243,ACC_000287,CASE_000016,2024-03-03 04:48:32.851948869,37514.24
ACC_000287,ACC_001335,CASE_000016,2024-03-03 05:33:23.550613019,37514.24
ACC_001701,ACC_001625,CASE_000017,2025-09-21 09:50:15.844720950,8877.22
ACC_001701,ACC_001625,CASE_000017,2025-09-21 09:51:28.994502499,583.29
ACC_001625,ACC_000093,CASE_000017,2025-09-21 09:59:20.342747599,9460.51
ACC_000263,ACC_000404,CASE_000018,2025-10-13 22:43:12.975106573,22998.42
ACC_000404,ACC_000659,CASE_000018,2025-10-13 22:57:14.921050576,22998.42
ACC_000212,ACC_001308,CASE_000019,2024-09-07 17:23:46.896036417,4626.13
ACC_001308,ACC_000767,CASE_000019,2024-09-07 17:57:08.620562149,3995.26
ACC_000767,ACC_001308,CASE_000019,2024-09-07 18:16:19.012671705,3995.26
